"Objective","State","focus_name","Year","error","raw","rounded"
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.1,36.1,36
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","1999",2.1,35.6,36
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","2000",2.1,34.3,34
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","2001",1.9,32.4,32
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","2002",1.7,33.5,34
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","2003",1.6,34.2,34
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","2004",1.5,32.2,32
"                  adjusted)","Alabama","19-1    Healthy weight in adults (age adjusted, aged 20","2005",1.6,32.9,33
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","1998",1.8,19.4,19
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","1999",1.8,19.5,19
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","2000",1.9,21.7,22
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","2001",1.8,23.7,24
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","2002",1.6,23,23
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","2003",1.5,23.3,23
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","2004",1.5,27.1,27
"                  adjusted)","Alabama","19-2    Obesity in adults (age adjusted, aged 20 years","2005",1.5,26.7,27
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","1998",4.4,34.7,35
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","1999",4.5,33,33
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","2000",3.8,35.4,35
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","2001",4.4,28.5,29
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","2002",3.8,34.5,34
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","2003",3.1,32.1,32
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","2004",3.1,30.1,30
"                  adjusted)","Alaska","19-1    Healthy weight in adults (age adjusted, aged 20","2005",3.2,31.6,32
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","1998",3.1,19.5,19
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","1999",3.9,23.3,23
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","2000",3.5,27.4,27
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","2001",3.6,29.4,29
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","2002",3.3,22.8,23
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","2003",2.9,31.3,31
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","2004",3.1,28.8,29
"                  adjusted)","Alaska","19-2    Obesity in adults (age adjusted, aged 20 years","2005",3.3,30.5,30
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","1998",2.9,48.2,48
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","1999",3,48.1,48
"                  adjusted)","Arizona","19-1    Healthy weight in adults (age adjusted, aged 20","2000",2.8,37.3,37
