"Year","State","StateAbbr","PopLT72","Ntested","TotConfirmed","PctConfirmedBllGT10","ug_dl_5_9","ug_dl_10_14","ug_dl_15_19","ug_dl_20_24","ug_dl_25_44","ug_dl_45_69","ug_dl_GT70","ug_dl_GT5"
1997,"Alabama","AL",196,264,47,6.56,1,455,222,35,232,63,1,1
1998,"Alabama","AL",193,211,508,5.54,1,377,148,242,209,74,1,1
1999,"Alabama","AL",191,209,392,3.11,1,272,49,169,159,74,1,1
2000,"Alabama","AL",195,119,291,2.3,1,184,291,88,90,84,1,1
2001,"Alabama","AL",197,70,431,5.3,1,296,59,212,192,63,1,1
2002,"Alabama","AL",197,260,354,2.02,1,214,37,184,147,54,2,1
2003,"Alabama","AL",194,245,380,2.36,1,230,41,183,161,54,2,1
2004,"Alabama","AL",198,87,313,2.88,1,186,358,141,108,42,1,1
2005,"Alabama","AL",199,230,241,1.37,1,117,280,116,40,54,1,1
2006,"Alabama","AL",200,336,303,1.08,1,197,306,120,90,28,1,1
2007,"Alabama","AL",203,359,245,0.74,1,131,285,51,78,2,1,1
2008,"Alabama","AL",204,372,233,0.62,1,118,281,34,40,2,1,1
2009,"Alabama","AL",206,231,206,1.05,1,97,232,51,55,2,1,1
2010,"Alabama","AL",201,208,103,0.71,122,442,123,247,247,28,1,7
2011,"Alabama","AL",201,258,99,0.53,124,415,135,42,33,2,1,8
2012,"Alabama","AL",201,148,89,0.72,91,396,146,16,206,2,1,105
2013,"Alabama","AL",201,281,96,0.47,108,415,135,16,236,42,2,117
1997,"Arizona","AZ",275,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
1998,"Arizona","AZ",287,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
1999,"Arizona","AZ",295,6,140,8.71,1,461,226,34,71,42,1,1
2000,"Arizona","AZ",292,508,151,2.5,1,73,197,75,85,28,1,1
2001,"Arizona","AZ",297,537,144,2.12,1,77,191,16,67,1,1,1
2002,"Arizona","AZ",297,69,221,1.89,1,119,226,60,247,2,1,1
2003,"Arizona","AZ",324,518,223,32.48,1,125,197,42,55,2,1,1
2004,"Arizona","AZ",334,421,213,3.77,1,104,218,23,71,2,1,1
2005,"Arizona","AZ",344,353,212,0.61,1,99,191,75,85,1,1,1
2006,"Arizona","AZ",348,416,157,0.4,1,82,168,111,85,2,2,1
2007,"Arizona","AZ",353,406,93,0.24,1,426,135,237,236,1,1,1
2008,"Arizona","AZ",357,469,125,0.25,1,470,119,51,78,2,1,1
2009,"Arizona","AZ",358,519,137,0.23,1,83,135,16,33,28,1,1
2010,"Arizona","AZ",343,497,128,0.23,114,464,178,23,55,54,1,125
