"","State","Year","Female","Male","Overall","StateAbb"
"1","Alabama",1999,4.1,22,12.5,"AL"
"2","Alabama",2000,4.8,22.8,13.1,"AL"
"3","Alabama",2001,4.1,19.7,11.3,"AL"
"4","Alabama",2002,4.3,19.9,11.4,"AL"
"5","Alabama",2003,4,19.8,11.4,"AL"
"6","Alabama",2004,4.1,20.4,11.7,"AL"
"7","Alabama",2005,4,20.1,11.5,"AL"
"8","Alabama",2006,3.9,22,12.4,"AL"
"9","Alaska",1999,8.1,26.3,16.8,"AK"
"10","Alaska",2000,7.9,34.3,21.5,"AK"
"11","Alaska",2001,6.4,25,15.9,"AK"
"12","Alaska",2002,10.9,30.9,21,"AK"
"13","Alaska",2003,7.5,33.9,20.4,"AK"
"14","Alaska",2004,11.5,34.5,23.4,"AK"
"15","Alaska",2005,8.5,31.7,20.2,"AK"
"16","Alaska",2006,9.1,31.1,20,"AK"
"17","Arizona",1999,6.6,25.1,15.5,"AZ"
"18","Arizona",2000,6.2,25.7,15.6,"AZ"
"19","Arizona",2001,5.6,24.5,14.8,"AZ"
"20","Arizona",2002,6.3,27.2,16.5,"AZ"
"21","Arizona",2003,6.4,25,15.5,"AZ"
"22","Arizona",2004,6.6,25.3,15.7,"AZ"
"23","Arizona",2005,6.9,25.9,16.2,"AZ"
"24","Arizona",2006,6.9,25.5,16,"AZ"
"25","Arkansas",1999,4.4,22.1,12.6,"AR"
"26","Arkansas",2000,5,22.2,13,"AR"
"27","Arkansas",2001,4.9,24.3,14.2,"AR"
"28","Arkansas",2002,4.9,23.7,14,"AR"
"29","Arkansas",2003,5.2,23,13.6,"AR"
"30","Arkansas",2004,4.9,21.9,12.9,"AR"
"31","Arkansas",2005,6,23.2,14.2,"AR"
"32","Arkansas",2006,4.4,23.1,13.3,"AR"
"33","California",1999,3.9,16,9.6,"CA"
"34","California",2000,3.7,15.4,9.1,"CA"
"35","California",2001,2.9,14.7,8.5,"CA"
"36","California",2002,4.1,15.7,9.6,"CA"
"37","California",2003,4.1,16.1,9.8,"CA"
"38","California",2004,4.6,15.2,9.6,"CA"
"39","California",2005,4.1,14.6,9.1,"CA"
"40","California",2006,4.1,14.8,9.2,"CA"
"41","Colorado",1999,5.7,22.3,13.7,"CO"
"42","Colorado",2000,5.5,23.8,14.3,"CO"
"43","Colorado",2001,6.7,27.3,16.5,"CO"
"44","Colorado",2002,6.3,26.4,16.2,"CO"
"45","Colorado",2003,6.9,26,16.1,"CO"
"46","Colorado",2004,8.1,27,17.3,"CO"
"47","Colorado",2005,7.1,27.9,17.3,"CO"
"48","Colorado",2006,7.2,23.6,15.2,"CO"
"49","Connecticut",1999,3.1,13.4,7.9,"CT"
"50","Connecticut",2000,3.4,14.8,8.7,"CT"
"51","Connecticut",2001,2.9,14,8.2,"CT"
"52","Connecticut",2002,3,12.3,7.4,"CT"
"53","Connecticut",2003,3.5,11.9,7.5,"CT"
"54","Connecticut",2004,3.4,13.3,8.1,"CT"
"55","Connecticut",2005,3.4,13.2,8.1,"CT"
"56","Connecticut",2006,3.1,13.2,8,"CT"
"57","Delaware",1999,3.2,19.6,11,"DE"
"58","Delaware",2000,4.9,16.9,10.4,"DE"
"59","Delaware",2001,5.4,22.1,13.3,"DE"
"60","Delaware",2002,1.9,17,9,"DE"
"61","Delaware",2003,5.8,17.8,11.4,"DE"
"62","Delaware",2004,5.3,16.9,10.9,"DE"
"63","Delaware",2005,3,16.7,9.6,"DE"
"64","Delaware",2006,3.5,17.7,10.4,"DE"
"65","District of Columbia",1999,1.2,9.5,5.1,NA
"66","District of Columbia",2000,1.4,6.5,3.8,NA
"67","District of Columbia",2001,1.8,12,6.5,NA
"68","District of Columbia",2002,2.6,8.6,5.1,NA
"69","District of Columbia",2003,1.7,11,6.2,NA
"70","District of Columbia",2004,1.9,9.8,5.7,NA
"71","District of Columbia",2005,2.7,9.2,5.5,NA
"72","District of Columbia",2006,2,8.8,5.1,NA
"73","Florida",1999,5.3,20,12.2,"FL"
"74","Florida",2000,4.9,20.7,12.4,"FL"
"75","Florida",2001,5.9,21.9,13.5,"FL"
"76","Florida",2002,5.8,21.6,13.4,"FL"
"77","Florida",2003,5.5,21,12.9,"FL"
"78","Florida",2004,6.3,20.5,13.1,"FL"
"79","Florida",2005,6.1,19.6,12.6,"FL"
"80","Florida",2006,5.7,20.1,12.7,"FL"
"81","Georgia",1999,4.3,19.2,11.1,"GA"
"82","Georgia",2000,4.4,18.1,10.7,"GA"
"83","Georgia",2001,4.3,19.6,11.4,"GA"
