Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                                                        ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,     ,    ,  ,    ,     ,    ,  ,    ,     ,    ,  ,    ,     ,    ,  ,    ,     ,    ,  ,    ,     ,    ,  ,    ,     ,    ,    ,   ,  ,    ,   ,  
14-24a Fully immunized young children and adolescents - Children aged 19 to 35 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              STATE:Alabama,,DNA,.,.,,---,.,.,,---,.,.,,79%,79.1,2.14,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,79%,79.4,4.13,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,79%,79.1,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Alaska,,DNA,.,.,,---,.,.,,---,.,.,,71%,71.2,2.86,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
