Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-1 Healthy weight in adults (age adjusted, aged 20 years and over)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            STATE:Alabama,1,36%,36.0,1.2,1,35%,35.2,1.2,1,35%,35.0,1.2,1,34%,34.4,1.0,1,33%,33.3,1.0,1,33%,32.8,1.0,1,31%,31.4,0.9,1,31%,31.2,1.1,---,.,.,---,.,.,---,.,.
            Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Native only,"1,2",DSU,47.3,10.1,"1,2",DSU,10.8,8.5,"1,2",DSU,41.6,10.8,1,DSU,51.3,9.2,1,DSU,27.2,8.6,1,DSU,24.7,7.7,1,DSU,23.6,9.8,1,DSU,22.7,9.0,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,63.9,13.5,1,DSU,33.1,12.2,1,DSU,32.0,13.6,1,DSU,49.9,13.6,1,DSU,73.5,11.4,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.6,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,36.0,19.6,1,DSU,38.4,0.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",26%,26.5,2.4,"1,2",27%,27.5,2.5,"1,2",25%,24.5,2.3,1,25%,25.4,2.1,1,28%,27.9,2.2,1,26%,26.0,2.1,1,22%,21.6,1.7,1,23%,22.6,2.1,---,.,.,---,.,.,---,.,.
               White only,"1,2",39%,38.6,1.4,"1,2",38%,37.7,1.4,"1,2",38%,37.5,1.3,1,36%,36.0,1.2,1,35%,35.2,1.2,1,34%,34.3,1.1,1,34%,34.4,1.1,1,33%,33.4,1.3,---,.,.,---,.,.,---,.,.
