Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-4 Complete tooth loss - Older adults (aged 65 to 74 years) years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            STATE:Alabama,1,34%,34.1,3.1,1,32%,31.7,3.1,,DNC,.,.,,DNC,.,.,1,30%,30.0,2.6,,DNC,.,.,1,28%,28.5,2.3,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
            Race and ethnicity,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,44.3,30.7,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.4,5.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,39.0,6.2,,DNC,.,.,1,42%,42.0,5.9,,DNC,.,.,1,24%,23.5,2.5,---,.,.,---,.,.
               Black or African American only,"2,1",31%,31.4,3.4,"2,1",32%,32.3,3.4,,DNC,.,.,,DNC,.,.,1,29%,28.6,2.8,,DNC,.,.,1,26%,25.9,2.5,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,17.7,12.2,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,13.0,12.6,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,5.0,5.0,---,.,.,---,.,.
                  Black or African American; White,1,DSU,51.2,20.0,1,DSU,63.4,32.8,,DNC,.,.,,DNC,.,.,1,DSU,8.5,8.4,,DNC,.,.,1,DSU,38.3,12.8,,DNC,.,.,1,24%,24.4,2.2,---,.,.,---,.,.
               Hispanic or Latino,1,33%,33.3,3.2,1,30%,30.4,3.0,,DNC,.,.,,DNC,.,.,1,30%,29.7,2.6,,DNC,.,.,1,28%,28.0,2.3,,DNC,.,.,1,32%,32.3,5.3,---,.,.,---,.,.
               Not Hispanic or Latino,"2,1",52%,51.7,7.6,"2,1",DSU,31.1,7.4,,DNC,.,.,,DNC,.,.,1,38%,37.5,6.2,,DNC,.,.,1,42%,42.0,6.0,,DNC,.,.,1,24%,23.7,2.5,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",31%,30.8,3.4,"2,1",32%,32.0,3.4,,DNC,.,.,,DNC,.,.,1,29%,28.6,2.9,,DNC,.,.,1,25%,25.3,2.5,,DNC,.,.,1,23%,23.3,2.5,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Gender,1,38%,38.3,4.0,1,29%,29.0,3.8,,DNC,.,.,,DNC,.,.,1,31%,31.2,3.2,,DNC,.,.,1,32%,32.0,2.9,,DNC,.,.,1,25%,24.8,3.7,---,.,.,---,.,.
               Female,1,28%,28.1,4.8,1,35%,35.2,4.9,,DNC,.,.,,DNC,.,.,1,28%,28.3,4.2,,DNC,.,.,1,24%,24.0,3.6,,DNC,.,.,1,43%,43.0,5.6,---,.,.,---,.,.
               Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Education level (persons aged 25 years and over),1,58%,58.3,5.2,1,49%,48.6,5.5,,DNC,.,.,,DNC,.,.,1,50%,50.0,5.1,,DNC,.,.,1,57%,57.3,4.9,,DNC,.,.,1,26%,25.7,3.6,---,.,.,---,.,.
               Less than high school,1,32%,32.2,5.6,1,25%,25.1,4.9,,DNC,.,.,,DNC,.,.,1,35%,35.3,4.7,,DNC,.,.,1,25%,24.8,3.4,,DNC,.,.,1,14%,13.6,2.7,---,.,.,---,.,.
               High school graduate,1,DSU,8.3,3.2,1,19%,19.3,4.8,,DNC,.,.,,DNC,.,.,1,10%,9.7,2.5,,DNC,.,.,1,14%,14.0,2.9,,DNC,.,.,1,25%,25.1,3.4,---,.,.,---,.,.
               At least some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Disability status,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,40%,40.0,4.9,,DNC,.,.,1,35%,35.5,4.3,,DNC,.,.,1,23%,23.2,2.8,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,24.8,2.9,,DNC,.,.,1,26%,25.6,2.7,,DNC,.,.,1,23%,23.4,4.4,---,.,.,---,.,.
