Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              STATE:Alabama,1,25%,24.8,1.1,1,24%,23.7,1.1,1,25%,25.5,1.1,1,24%,24.2,0.9,1,24%,24.4,1.0,1,26%,25.5,0.9,1,25%,25.0,0.9,1,25%,25.0,1.1,1,24%,23.5,1.1,1,23%,22.7,0.8,---,.,.
              Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 American Indian or Alaska Native only,"2,1",DSU,46.5,8.7,"2,1",DSU,43.0,9.2,"2,1",DSU,62.7,6.8,1,DSU,38.8,6.7,1,DSU,44.9,8.3,1,DSU,38.4,8.2,1,DSU,28.1,8.8,1,DSU,20.7,9.0,1,DSU,30.3,9.5,1,28%,28.2,6.2,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,14.7,6.9,"2,1",DSU,5.4,4.6,"2,1",DSU,7.1,5.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,16.9,8.9,1,DSU,7.8,6.2,1,DSU,1.4,1.7,1,DSU,28.0,9.9,1,DSU,7.8,7.1,1,DSU,5.1,5.1,1,DSU,2.5,2.4,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,37.9,0.0,1,DSU,53.8,0.0,1,DSU,100.0,0.0,1,DSU,61.6,11.3,1,DSU,28.9,29.1,1,DSU,0.0,0.0,1,DSU,100.0,0.0,---,.,.
                 Black or African American only,"2,1",21%,21.0,2.1,"2,1",17%,17.5,2.0,"2,1",22%,21.7,2.6,1,20%,19.8,1.8,1,21%,21.4,1.9,1,25%,24.9,1.9,1,22%,22.4,1.7,1,19%,18.6,2.0,1,19%,19.4,1.9,1,21%,20.6,1.6,---,.,.
                 White only,"2,1",26%,26.4,1.3,"2,1",26%,26.3,1.3,"2,1",26%,26.4,1.2,1,26%,25.5,1.1,1,25%,24.5,1.1,1,26%,26.0,1.1,1,26%,26.2,1.1,1,27%,27.1,1.3,1,26%,25.8,1.3,1,23%,23.5,1.0,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,20.4,7.8,1,DSU,25.5,7.9,1,28%,27.9,6.0,1,DSU,25.6,7.3,1,DSU,52.2,6.7,1,DSU,10.3,3.9,1,33%,32.8,6.3,---,.,.
