focus,state,year,result,male,female
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",1998,27.0,22.7,24.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",1999,25.8,21.9,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2000,28.5,22.5,25.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2001,25.6,22.9,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2002,27.1,21.9,24.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2003,28.2,23.0,25.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2004,28.6,21.6,25.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2005,29.0,21.1,25.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2006,26.0,21.0,23.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2007,25%,20%,23%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alabama",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",1998,27.1,21.9,24.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",1999,23.2,29.3,26.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2000,25.2,22.2,23.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2001,25.1,24.9,25.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2002,30.8,25.6,28.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2003,29.2,21.1,25.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2004,25.8,22.2,24.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2005,27.0,21.3,24.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2006,24.4,22.6,23.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2007,24%,19%,21%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Alaska",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",1998,24.5,19.8,22.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",1999,23.7,17.0,20.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2000,18.3,19.4,18.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2001,22.9,20.4,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2002,26.8,20.4,23.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2003,23.6,18.5,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2004,19.4,18.1,18.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2005,21.8,19.1,20.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2006,21.8,14.7,18.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2007,24%,17%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arizona",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",1998,28.9,24.8,26.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",1999,29.8,26.2,28.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2000,26.5,25.5,26.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2001,27.5,25.1,26.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2002,28.4,24.9,26.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2003,27.6,23.4,25.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2004,28.0,24.3,26.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2005,24.9,22.6,23.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2006,25.8,22.5,24.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2007,24%,21%,23%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Arkansas",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",1998,21.4,16.6,19.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",1999,21.2,15.7,18.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2000,19.3,14.5,16.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2001,19.9,14.0,17.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2002,19.0,13.4,16.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2003,19.8,13.2,16.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2004,17.7,11.2,14.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2005,18.5,11.3,14.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2006,17.9,11.4,14.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2007,17%,11%,14%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","California",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",1998,25.9,19.4,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",1999,22.1,22.0,22.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2000,18.8,20.6,19.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2001,23.2,21.3,22.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2002,20.2,19.2,19.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2003,19.0,17.4,18.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2004,21.3,17.7,19.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2005,20.5,18.0,19.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2006,18.3,16.3,17.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2007,19%,18%,18%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Colorado",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",1998,21.6,21.5,21.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",1999,25.3,20.9,23.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2000,20.3,20.1,20.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2001,21.2,20.9,21.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Connecticut",2002,20.7,19.0,19.9
